date,home_team,score,away_team
04-10-2024,Leganes,0 - 0,Valencia
28-09-2024,Vallecano,1 - 1,Leganes
22-09-2024,Getafe,1 - 1,Leganes
19-09-2024,Leganes,0 - 2,Ath Bilbao
13-09-2024,Betis,2 - 0,Leganes
31-08-2024,Leganes,0 - 1,Mallorca
28-08-2024,Valladolid,0 - 0,Leganes
25-08-2024,Leganes,2 - 1,Las Palmas
17-08-2024,Osasuna,1 - 1,Leganes
24-05-2025,Vallecano,0 - 0,Mallorca
18-05-2025,Mallorca,1 - 2,Getafe
14-05-2025,Real Madrid,2 - 1,Mallorca
10-05-2025,Mallorca,2 - 1,Valladolid
05-05-2025,Girona,1 - 0,Mallorca
22-04-2025,FC Barcelona,1 - 0,Mallorca
19-04-2025,Mallorca,0 - 0,Leganes
12-04-2025,Sociedad,0 - 2,Mallorca
05-04-2025,Mallorca,1 - 2,Celta
30-03-2025,Valencia,1 - 0,Mallorca
15-03-2025,Mallorca,2 - 1,Espanol
09-03-2025,Ath Bilbao,1 - 1,Mallorca
02-03-2025,Mallorca,1 - 1,Alaves
24-02-2025,Sevilla,1 - 1,Mallorca
16-02-2025,Mallorca,3 - 1,Las Palmas
10-02-2025,Mallorca,1 - 1,Osasuna
01-02-2025,Ath Madrid,2 - 0,Mallorca
25-01-2025,Mallorca,0 - 1,Betis
20-01-2025,Villarreal,4 - 0,Mallorca
21-12-2024,Getafe,0 - 1,Mallorca
14-12-2024,Mallorca,2 - 1,Girona
06-12-2024,Celta,2 - 0,Mallorca
03-12-2024,Mallorca,1 - 5,FC Barcelona
29-11-2024,Mallorca,2 - 1,Valencia
23-11-2024,Las Palmas,2 - 3,Mallorca
10-11-2024,Mallorca,0 - 1,Ath Madrid
01-11-2024,Alaves,1 - 0,Mallorca
28-10-2024,Mallorca,0 - 0,Ath Bilbao
20-10-2024,Mallorca,1 - 0,Vallecano
05-10-2024,Espanol,2 - 1,Mallorca
27-09-2024,Valladolid,1 - 2,Mallorca
23-09-2024,Betis,1 - 2,Mallorca
17-09-2024,Mallorca,1 - 0,Sociedad
14-09-2024,Mallorca,1 - 2,Villarreal
31-08-2024,Leganes,0 - 1,Mallorca
27-08-2024,Mallorca,0 - 0,Sevilla
24-08-2024,Osasuna,1 - 0,Mallorca
18-08-2024,Mallorca,1 - 1,Real Madrid
24-05-2025,Alaves,1 - 1,Osasuna
18-05-2025,Osasuna,2 - 0,Espanol
15-05-2025,Osasuna,2 - 0,Ath Madrid
11-05-2025,Betis,1 - 1,Osasuna
03-05-2025,Villarreal,4 - 2,Osasuna
24-04-2025,Osasuna,1 - 0,Sevilla
20-04-2025,Valladolid,2 - 3,Osasuna
13-04-2025,Osasuna,2 - 1,Girona
07-04-2025,Leganes,1 - 1,Osasuna
30-03-2025,Ath Bilbao,0 - 0,Osasuna
27-03-2025,FC Barcelona,3 - 0,Osasuna
16-03-2025,Osasuna,1 - 2,Getafe
02-03-2025,Osasuna,3 - 3,Valencia
21-02-2025,Celta,1 - 0,Osasuna
15-02-2025,Osasuna,1 - 1,Real Madrid
10-02-2025,Mallorca,1 - 1,Osasuna
02-02-2025,Osasuna,2 - 1,Sociedad
24-01-2025,Las Palmas,1 - 1,Osasuna
19-01-2025,Osasuna,1 - 1,Vallecano
12-01-2025,Ath Madrid,1 - 0,Osasuna
21-12-2024,Osasuna,1 - 2,Ath Bilbao
14-12-2024,Espanol,0 - 0,Osasuna
08-12-2024,Osasuna,2 - 2,Alaves
